Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,Einheit,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids
Shorty-Pyjama,UP2FASHION,"€ 6,99",,"pro Einheit = 6,99",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/aldi/aldi_offer_151.jpg,cat_non_food,,,ref_000151,obs_0000001581|obs_0000001069|obs_0000001120|obs_0000001063|obs_0000001582|obs_0000001626|obs_0000001121|obs_0000000757|obs_0000000761|obs_0000001410|obs_0000025117|obs_0000020542|obs_0000000941|obs_0000022656|obs_0000000843|obs_0000021361,obs_0000001063|obs_0000001581|obs_0000001069|obs_0000001120
Klappbare Rutsche,PALPLAY,"€ 19,99",,"pro Einheit = 19,99",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/aldi/aldi_offer_152.jpg,cat_non_food,,,ref_000152,obs_0000024792,
Holz-Matschküche,Holz-Matschküche,"€ 24,99",,"pro Einheit = 24,99",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/aldi/aldi_offer_153.jpg,cat_non_food,,,ref_000153,obs_0000024290|obs_0000023869,
Sandkasten,TOYLINO,"€ 39,99",,"pro Einheit = 39,99",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/aldi/aldi_offer_154.jpg,"cat_non_food,diet_vegetarian",,,ref_000154,obs_0000024802,obs_0000024802
Spielweste,Toylino,"€ 6,99",,"pro Einheit = 6,99",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/aldi/aldi_offer_155.jpg,"cat_non_food,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian",,,ref_000155,,
Schaukelzubehör,Toylino,"€ 6,99",,"pro Einheit = 6,99",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/aldi/aldi_offer_156.jpg,cat_non_food,,,ref_000156,,
Fenstermalfarben,Disney Princess,"€ 2,99",,"pro Einheit = 2,99",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/aldi/aldi_offer_157.jpg,"cat_non_food,diet_vegetarian",,,ref_000157,obs_0000002992,obs_0000002992
Basketball,Crane,"€ 6,99",,"pro Einheit = 6,99",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/aldi/aldi_offer_158.jpg,"cat_non_food,diet_vegan",,,ref_000158,,
Steppjacke,LILY DAN,"€ 9,99",,"pro Einheit = 9,99",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/aldi/aldi_offer_159.jpg,cat_non_food,,,ref_000159,obs_0000001408|obs_0000022019|obs_0000020490|obs_0000016456|obs_0000021121|obs_0000018574|obs_0000020116|obs_0000024294|obs_0000022266|obs_0000017684|obs_0000017695|obs_0000021793|obs_0000021309|obs_0000023870|obs_0000020302|obs_0000021862|obs_0000020935,obs_0000001408
Knetmassen-Set,Play-Doh,"€ 7,99",,"pro Einheit = 12,99",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/aldi/aldi_offer_160.jpg,cat_non_food,,,ref_000160,,
Robo-Alive,ZURU,"€ 4,99",,"pro Einheit = 4,99",,Nein,Gültig bis 04.04,2026-03-30,2026-04-04,../images/aldi/aldi_offer_161.jpg,cat_non_food,,,ref_000161,,
