Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad
"Dr. Oetker Backmischung Kastenkuchen, Klassische Kuchenmischung oder Kleingebäck",Keine Marke,"€ 2,49",Kein vorheriger Preis,"1 kg = 4,29-8,89 €","verschiedene Sorten Ausgenommen Familienkuchen, Schnitten, Maulwurfkuchen und Cheese Cake American Style., 280-580 g Packung, (1 kg = 4,29-8,89 €)",Nein,Gültig vom 01.12.2025 bis zum 06.12.2025,2025-12-01,2025-12-06,images_edeka/dr-oetker-backmischung-kastenkuchen-klassische-kuchenmischung-oder-kleingeb-ck.jpg
Hellmich Müsli by Axel Schmitt,Keine Marke,"€ 5,99",Kein vorheriger Preis,"1 kg = 13,31/11,98 €","verschiedene Sorten, 450/500 g Packung, (1 kg = 13,31/11,98 €)",Nein,Gültig vom 01.12.2025 bis zum 06.12.2025,2025-12-01,2025-12-06,images_edeka/hellmich-m-sli-by-axel-schmitt.jpg
Youcook Fertiggericht,Keine Marke,"€ 4,49",Kein vorheriger Preis,"1 kg = 10,20-11,82 €","verschiedene Sorten, 380-440 g Packung, (1 kg = 10,20-11,82 €)",Nein,Gültig vom 01.12.2025 bis zum 06.12.2025,2025-12-01,2025-12-06,images_edeka/youcook-fertiggericht.jpg
Bürger Maultaschen,Keine Marke,"€ 1,49",Kein vorheriger Preis,"1 kg = 4,14-5,96 €","verschiedene Sorten Ausgenommen Maultaschen gerollt 340 g., 250-360 g Packung, (1 kg = 4,14-5,96 €)",Nein,Gültig vom 01.12.2025 bis zum 06.12.2025,2025-12-01,2025-12-06,images_edeka/b-rger-maultaschen.jpg
Golden Toast Sandwich,Keine Marke,"€ 2,29",Kein vorheriger Preis,"1 kg = 3,05 €","Dinkel Harmonie, 750 g Packung, (1 kg = 3,05 €)",Nein,Gültig vom 01.12.2025 bis zum 06.12.2025,2025-12-01,2025-12-06,images_edeka/golden-toast-sandwich.jpg
Leicht&Cross Mein Knusperbrot,Keine Marke,"€ 0,99",Kein vorheriger Preis,"1 kg = 7,92 €","verschiedene Sorten, vegan, 125 g Packung, (1 kg = 7,92 €)",Nein,Gültig vom 01.12.2025 bis zum 06.12.2025,2025-12-01,2025-12-06,images_edeka/leicht-cross-mein-knusperbrot.jpg
Henglein Frischer Pizzateig,Keine Marke,"€ 1,69",Kein vorheriger Preis,"1 kg = 4,23 €","auf Backpapier, 400 g Packung, (1 kg = 4,23 €)",Nein,Gültig vom 01.12.2025 bis zum 06.12.2025,2025-12-01,2025-12-06,images_edeka/henglein-frischer-pizzateig.jpg
Apricot Peppers Paprika,Keine Marke,"€ 2,29",Kein vorheriger Preis,Kein Mengenpreis,"mit Aprikosenfrischkäsezubereitung, 100 g",Nein,Gültig vom 01.12.2025 bis zum 06.12.2025,2025-12-01,2025-12-06,images_edeka/apricot-peppers-paprika.jpg
"Nordsee MSC Backfisch, Fischfrikadellen",Keine Marke,"€ 2,49",Kein vorheriger Preis,"1 kg = 10,08-14,65 €","2er, mit Dip, Matjesfilets oder Heringsfilet verschiedene Sorten, 170-247 g Packung, (1 kg = 10,08-14,65 €)",Nein,Gültig vom 01.12.2025 bis zum 06.12.2025,2025-12-01,2025-12-06,images_edeka/nordsee-msc-backfisch-fischfrikadellen.jpg
Alle Angebote finden Sie im Prospekt,Keine Marke,"€ ,00",Kein vorheriger Preis,Kein Mengenpreis,,Nein,Gültig vom 01.12.2025 bis zum 06.12.2025,2025-12-01,2025-12-06,images_edeka/alle-angebote-finden-sie-im-prospekt.jpg
Unbekannt_63,Keine Marke,"€ ,00",Kein vorheriger Preis,Kein Mengenpreis,"Normalpreise: MUTTI: € 1,99, 1kg = € 9,95; EDEKA Bio Chiasamen: € 1,85; 1kg = € 6,17",Nein,Gültig vom 01.12.2025 bis zum 06.12.2025,2025-12-01,2025-12-06,
Original Wagner Steinofen Pizza oder Flammkuchen,Keine Marke,"€ 1,79",Kein vorheriger Preis,"1 kg = 4,97-5,97 €","verschiedene Sorten, tiefgefroren, 300-360 g Packung, (1 kg = 4,97-5,97 €)",Nein,Gültig vom 01.12.2025 bis zum 06.12.2025,2025-12-01,2025-12-06,images_edeka/original-wagner-steinofen-pizza-oder-flammkuchen.jpg
iglo MSC Fischstäbchen,Keine Marke,"€ 2,99",Kein vorheriger Preis,"1 kg = 6,64-13,35 €","verschiedene Sorten, tiefgefroren Ausgenommen Fischstäbchen 300 g und glutenfrei 360 g., 224-450 g Packung, (1 kg = 6,64-13,35 €)",Nein,Gültig vom 01.12.2025 bis zum 06.12.2025,2025-12-01,2025-12-06,images_edeka/iglo-msc-fischst-bchen.jpg
"Coppenrath & Wiese Lust auf Kuchen, Torte oder Vegan",Keine Marke,"€ 3,79",Kein vorheriger Preis,"1 kg = 6,53-10,53 €","verschiedene Sorten, tiefgefroren, 360-580 g Packung, (1 kg = 6,53-10,53 €)",Nein,Gültig vom 01.12.2025 bis zum 06.12.2025,2025-12-01,2025-12-06,images_edeka/coppenrath-wiese-lust-auf-kuchen-torte-oder-vegan.jpg
