Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels
Pfirsich-Maracuja-Milchschnitte,Ferrero,"€ 1,49",,10.64 €/kg,,Nein,,,,images_aldi/aldi_offer_113.jpg,"cat_knabbern_naschen,diet_vegetarian,tag_ultra_processed"
Knacker Mix,Wiesbauer,"€ 1,99",,9.95 €/kg,,Nein,,,,images_aldi/aldi_offer_114.jpg,"cat_knabbern_naschen,diet_vegetarian,sub_wurst,tag_ultra_processed"
Home Barista Caff Crema Dolce,Dallmayr,"€ 13,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_115.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian"
Feine Butter,MEGGLE,"€ 1,39",,kg-Preis 5.56,,Nein,,,,images_aldi/aldi_offer_116.jpg,"cat_molkerei_kaese,diet_gluten_free,diet_vegetarian,sub_butter_margarine,sub_milchprodukte"
Cr me fra che Classic,Dr Oetker,"€ 0,99",,6.60 €/kg,,Nein,,,,images_aldi/aldi_offer_117.jpg,"cat_tiefkuehl,tag_ultra_processed"
Salami-Aufschnitt,Gut Drei Eichen,"€ 1,49",,kg-Preis 6.21,,Nein,,,,images_aldi/aldi_offer_118.jpg,"cat_fleisch_wurst,sub_gefluegel,sub_wurst,tag_ultra_processed"
Back-Camembert,Alpenhain,"€ 1,99",,kg-Preis 9.95,,Nein,,,,images_aldi/aldi_offer_119.jpg,"cat_molkerei_kaese,sub_kaese,sub_milchprodukte"
Sahnejoghurt Amarena Kirsche,Zott,"€ 0,49",,1 kg = 3.50,,Nein,,,,images_aldi/aldi_offer_120.jpg,"cat_molkerei_kaese,diet_vegetarian,sub_joghurt_skyr_quark,sub_milchprodukte,sub_sahne_creme"
Anti-Schuppen-Shampoo Classic Clean,Head Shoulders,"€ 9,99",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_121.jpg,cat_drogerie
Lufterfrischer Duopack,Febreze,"€ 2,29",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_122.jpg,cat_drogerie
Blütenfrisch Kraft Aktiv,WC Frisch,"€ 4,79",,23.95 €/kg,,Nein,,,,images_aldi/aldi_offer_123.jpg,cat_drogerie
Mini Original,TUC,"€ 1,49",,12.42 €/kg,,Nein,,,,images_aldi/aldi_offer_124.jpg,"cat_knabbern_naschen,diet_gluten_free,diet_lactose_free,diet_vegan,tag_high_protein,tag_ultra_processed"
All in 1 Extra Tabs,Somat,"€ 1,99",,l-Preis 7.96,,Nein,,,,images_aldi/aldi_offer_125.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian"
Nutella,Ferrero,"€ 6,49",,Kein Mengenpreis,,Nein,,,,images_aldi/aldi_offer_126.jpg,"cat_knabbern_naschen,diet_vegetarian,tag_ultra_processed"
Knoppers Black White,Storck,"€ 1,59",,7.95 €/kg,,Nein,,,,images_aldi/aldi_offer_127.jpg,"cat_knabbern_naschen,tag_ultra_processed"
