Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad
Sneaker,Esmara,"7,99 €",,"12,99 €",,Nein,,,,images_lidl/lidl_offer_130.jpg
Jeans,Esmara,"14,99 €",,,,Nein,,,,images_lidl/lidl_offer_131.jpg
Bauchtasche,Esmara,"6,99 €",,"9,99 €",,Nein,,,,images_lidl/lidl_offer_132.jpg
Denim-Joggers,Esmara,"12,99 € *",,"16,99 €",,Nein,,,,images_lidl/lidl_offer_133.jpg
Leggings,Esmara,"3,59 €",,,,Nein,,,,images_lidl/lidl_offer_134.jpg
Jeanskleid,Esmara,"12,99 €",,,,Nein,,,,images_lidl/lidl_offer_135.jpg
Pyjama,Esmara,"6,99 €",,,,Nein,,,,images_lidl/lidl_offer_136.jpg
Thermostrumpfhose,Esmara,"4,99 €",,"7,99 €",,Nein,,,,images_lidl/lidl_offer_137.jpg
Men Langarmshirt,Esmara,"5,99 €",,"7,99 €",,Nein,,,,images_lidl/lidl_offer_138.jpg
Pyjama,Esmara Men,"6,99 €",,,,Nein,,,,images_lidl/lidl_offer_139.jpg
Men Cargohose,Esmara,"ab 12,99 €",,,,Nein,,,,images_lidl/lidl_offer_140.jpg
Men Sneaker,Esmara,"7,99 €",,"12,99 €",,Nein,,,,images_lidl/lidl_offer_141.jpg
Men Bomberjacke,Esmara,"14,99 €",,,,Nein,,,,images_lidl/lidl_offer_142.jpg
Men Hausschuhe,Esmara,"ab 2,49 € *",,"4,99 €",,Nein,,,,images_lidl/lidl_offer_143.jpg
Boxer,Tommy Hilfiger,"19,99 €",,"UVP
39,95 €",,Nein,,,,images_lidl/lidl_offer_144.jpg
Men Jeans,Esmara,"8,99 €",,,,Nein,,,,images_lidl/lidl_offer_145.jpg
Men Steppweste,Esmara,"9,99 €",,"12,99 €",,Nein,,,,images_lidl/lidl_offer_146.jpg
Men Sweatpullover,Esmara,"8,99 €",,,,Nein,,,,images_lidl/lidl_offer_147.jpg
Steppweste,Esmara,"17,99 €",,,,Nein,,,,images_lidl/lidl_offer_148.jpg
Pullover/Hose im Cord-Look,Esmara,"9,99 €",,"14,99 €",,Nein,,,,images_lidl/lidl_offer_149.jpg
