Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad
Cremeux de Normandie,,2.79 €,,13.95 / kg,gekühlt,Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_091.png
Caldenhof Forelle Caviar,,4.49 €,,89.80 / kg,gekühlt,Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_092.png
Himalaya Salz,,1.99 €,,6.63 / kg,"Speisesalz, mit Bambus Dosierlöffel gratis, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_093.png
Birnstingl Steirisches Kürbiskernöl,,4.99 €,statt 5.99,19.96 / l,,Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_094.png
Antipasti di Mare,,4.44 €,statt 4.99,15.86 / kg,versch. Sorten,Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_095.png
Lachs Carpaccio,,3.99 €,,32.18 / kg,"gekühlt, mit 14g Vinaigrette + 10 g Parmigiano Reggiano",Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_096.png
Carpaccio,,3.49 €,,29.08 / kg,vom irischen Weiderind,Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_097.png
Antipasti Teller Mix,,4.99 €,,10.73 - 12.79 / kg,gekühlt,Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_098.png
BioBio Antipasti,,2.59 €,,14.39 / kg,versch. Sorten,Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_099.png
Italienische handgelegte Aperitivo Platte,,9.99 €,,31.22 / kg,"mit Prosciutto Crudo, Salame Napoli, Coppa, Scamorza geräuchert, Oliven und getrocknete Tomaten",Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_100.png
Spanferkel-Keule,,7.99 €,,,"mit ganzem Knochen und Schwarte, ca. 1,8 kg",Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_101.png
Rotkohl,,0.99 €,,2.48 / kg,,Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_102.png
Knorr Kochpasten,,1.99 €,,12.06 / kg,versch. Sorten,Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_103.png
Backofen-Kroketten,,1.39 €,statt 1.59,1.85 / kg,tiefgekühlt,Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_104.png
Kloßteig halb & halb,,1.39 €,statt 1.59,1.85 / kg,,Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_105.png
Wildreis,,1.79 €,statt 1.99,3.58 / kg,,Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_106.png
Italienische Bronze Pasta,,1.49 €,,2.98 / kg,versch. Sorten,Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_107.png
Pittmann Hummer,,9.99 €,,28.54 / kg,"tiefgekühlt, ganz & gekocht",Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_108.png
Meica Ragout Fin,,2.79 €,,6.98 / kg,zartes Geflügel- und Kalbfleisch mit Champignons,Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_109.png
Königinpasteten,,1.29 €,,8.60 / kg,,Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_110.png
Ekos Cakes Kuchenmix,,7.99 €,,9.74 / kg,gekühlt,Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_111.png
Stollen,,3.99 €,statt 4.99,3.99 - 5.32 / kg,versch. Sorten,Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_112.png
Dr. Oetker Mini Kuchen,,1.99 €,,14.21 / kg,versch. Sorten,Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_113.png
Kuchenstück,,2.79 €,,9.96 - 10.33 / kg,versch. SortenAngebot gilt nur in ausgewählten Filialen mit Backofen.,Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_114.png
Zimtsterne,,1.99 €,statt 2.99,11.37 / kg,,Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_115.png
Coppenrath & Wiese Bunte Sahne Platte oder Festtagstorte,,7.99 €,UVP 14.99,5.71 - 10.24 / kg,"tiefgekühlt, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_116.png
Eduscho Pads,,3.99 €,statt 4.99,19.18 / kg,versch. Sorten,Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_117.png
Käfer Selection Single Origin,,3.99 €,UVP 5.99,15.96 / kg,"ganze Kaffeebohnen, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_118.png
Amicelli Waffelröllchen,,2.99 €,statt 4.29,14.95 / kg,versch. Sorten,Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_119.png
Sticks,,1.69 €,statt 1.99,9.39 - 12.07 / kg,"löslicher Bohnenkaffee, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 15.12.25 - Samstag, 20.12.25",15.12.25,20.12.25,images_netto/netto_offer_120.png
