Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels,nutrition_link,reference_row_id,rough_match_observation_ids,exact_match_observation_ids
Matratze,Emma,"€ 129,00",,Kein Mengenpreis,,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_lidl/lidl_offer_252.jpg,cat_non_food,,ref_000252,obs_0000016009|obs_0000017312|obs_0000016150|obs_0000023728|obs_0000023732|obs_0000018530|obs_0000021251|obs_0000022423|obs_0000021021|obs_0000001832|obs_0000021689|obs_0000022845|obs_0000024056|obs_0000016717|obs_0000021459|obs_0000017116|obs_0000018529|obs_0000021994|obs_0000001138|obs_0000024055|obs_0000020732|obs_0000021688|obs_0000018606|obs_0000016835|obs_0000019425|obs_0000023392|obs_0000017528|obs_0000021866|obs_0000015023|obs_0000016439|obs_0000015818|obs_0000018168|obs_0000018173|obs_0000021254|obs_0000015438|obs_0000015584,
Taschenfederkern-Matratze,Emma,"€ 119,00",,Kein Mengenpreis,,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_lidl/lidl_offer_253.jpg,cat_non_food,,ref_000253,obs_0000016150|obs_0000023728|obs_0000021251|obs_0000022423|obs_0000021021|obs_0000022845|obs_0000016717|obs_0000017116|obs_0000020732|obs_0000023732|obs_0000018530|obs_0000018606|obs_0000023392|obs_0000019425|obs_0000017528|obs_0000015023|obs_0000015818|obs_0000018168,
Matratze,Emma,"€ 199,00",,Kein Mengenpreis,,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_lidl/lidl_offer_254.jpg,cat_non_food,,ref_000254,obs_0000016009|obs_0000017312|obs_0000016150|obs_0000023728|obs_0000023732|obs_0000018530|obs_0000021251|obs_0000022423|obs_0000021021|obs_0000001832|obs_0000021689|obs_0000022845|obs_0000024056|obs_0000016717|obs_0000021459|obs_0000017116|obs_0000018529|obs_0000021994|obs_0000001138|obs_0000024055|obs_0000020732|obs_0000021688|obs_0000018606|obs_0000016835|obs_0000019425|obs_0000023392|obs_0000017528|obs_0000021866|obs_0000015023|obs_0000016439|obs_0000015818|obs_0000018168|obs_0000018173|obs_0000021254|obs_0000015438|obs_0000015584,
Trolley-Boardcase,Esmara,"€ 24,99",,"29,99 €",,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_lidl/lidl_offer_255.jpg,cat_non_food,,ref_000255,obs_0000012021|obs_0000012024|obs_0000012058,
Handgepäck-Rucksack,Esmara,"€ 12,99",,"16,99 €",,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_lidl/lidl_offer_256.jpg,cat_non_food,,ref_000256,obs_0000012469|obs_0000012696|obs_0000010702|obs_0000013307|obs_0000013724|obs_0000009763|obs_0000012074,
Trolley-Reisekoffer,Esmara,"€ 17,99",,Kein Mengenpreis,,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_lidl/lidl_offer_257.jpg,cat_non_food,,ref_000257,obs_0000023296|obs_0000019232|obs_0000020051|obs_0000012021|obs_0000012024|obs_0000012058,obs_0000023296|obs_0000019232|obs_0000020051
Diebstahlschutz-Tasche Handtasche,Esmara,"€ 7,99",,"9,99 €",,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_lidl/lidl_offer_258.jpg,cat_non_food,,ref_000258,obs_0000018475,
Apple Geschenkkarte 100,Apple,,,Kein Mengenpreis,,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_lidl/lidl_offer_259.jpg,cat_non_food,,ref_000259,obs_0000000686|obs_0000001062|obs_0000001972|obs_0000001792,
Kinder-Reisekoffer,Lupilu,"€ 19,99",,"24,99 €",,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_lidl/lidl_offer_260.jpg,"cat_non_food,tag_ultra_processed",,ref_000260,,
Reise-Dampfbügeleisen,Silvercrest,"€ 9,99",,"14,99 €",,Nein,Gültig bis 21.03,2026-03-16,2026-03-21,images_lidl/lidl_offer_261.jpg,cat_non_food,,ref_000261,obs_0000021224|obs_0000003441|obs_0000024544,
