Marke,Produkt,Preis,Vorheriger_Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels
MEBUS,Funk-Wetterstation 11174,"€ 19,99",19.99,Kein Mengenpreis,Thermo- und Hygrometer für innen und außen Wettervorhersage Mondphasen- und Barometer-Anzeige Dauerhafte Hintergrundbeleuchtung per USB-Kabel USB- oder Batteriebetrieb Inkl. Funksensor,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_375.jpg,cat_non_food
MEBUS,Funk-Wetterstation 40012,"€ 19,99",19.99,Kein Mengenpreis,Thermo- und Hygrometer für innen und außen Wettervorhersage Mondphasen- und Barometer-Anzeige Dauerhafte Hintergrundbeleuchtung per USB-Kabel USB- oder Batteriebetrieb Inkl. Funksensor,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_374.jpg,cat_non_food
K-CLASSIC,Ganze Mahlzeit Eintopf,"€ 1,19",,1 kg = 2.98,"1 Portion, versch. Sorten",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_205.jpg,cat_grundnahrung
ESCAL,Garnelen-Pfanne,"€ 3,33",4.79,1 kg = 13.32,"Italia oder Thai Curry, ideal um nach Belieben eine Beilage zuzufügen",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_176.jpg,cat_tiefkuehl
GUTFRIED,Geflügel- oder Hähnchen- Fleischwurst,"€ 2,49",,1 kg = 6.23 - 7.12,"fein würzig, Geflügel-Fleischwurst auch mit Knoblauch",Nein,Dieses Angebot findest du vom 02.03. bis 04.03. in deiner Kaufland-Filiale.,2026-03-02,2026-03-04,images_kaufland/kaufland_offer_668.jpg,"cat_fleisch_wurst,sub_gefluegel,sub_wurst,tag_proteinreich,tag_ultra_processed"
ZIMBO,Geflügel-Lyoner Gemüse,"€ 0,88",1.29,1 kg = 8.80,"mit Paprika und Kartoffel oder mit Brokkoli, Karotte und Kartoffel",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_096.jpg,"cat_fleisch_wurst,sub_gefluegel,sub_wurst,tag_ultra_processed"
Keine Marke,Geschenkstrauß,"€ 9,99",,Kein Mengenpreis,versch. Variationen,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_064.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food"
SOMAT,Geschirrreiniger XXL,"€ 7,99",9.45,pro Anwendung = 0.12 - 0.19,"Tabs 58 - 67 St., Caps 44 - 54 St. oder Gel 0,992 - 1,072 l, = 44 - 67 Anwendungen",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_329.jpg,cat_drogerie
K-PURLAND Schnelle Küche,Geschnetzeltes vom Schwein Asia Art,"€ 3,33",,1 kg = 6.66,"vom Schwein, mariniert, zum Braten",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_078.jpg,"cat_fleisch_wurst,sub_rind,sub_schwein,tag_high_protein,tag_proteinreich"
KABA,Getränkepulver,"€ 1,99",2.99,1 kg = 4.98,"Erdbeer-, Banane-, Vanille- oder Himbeer-Geschmack",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_260.jpg,"cat_knabbern_naschen,tag_ultra_processed"
MILRAM,Gewürzquark,"€ 0,99",1.49,1 kg = 5.36,"versch. Sorten, 40 % Fett i. Tr. oder leicht, 2,4 % Fett absolut",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_132.jpg,cat_molkerei_kaese
APPLE,Gift Card 100 Euro,"€ 100,00",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_423.jpg,cat_non_food
APPLE,Gift Card 25 Euro,"€ 25,00",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_424.jpg,"cat_knabbern_naschen,tag_ultra_processed"
APPLE,Gift Card 50 Euro,"€ 50,00",,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_425.jpg,"cat_knabbern_naschen,tag_ultra_processed"
CUISINE,Glas-Auflaufform oval,"€ 3,99",UVP 9.99,Kein Mengenpreis,Aus Borosilikatglas Temperaturbeständig von -40 bis +300 °C Mikrowellen- und spülmaschinengeeignet Größe ca. B 35 x H 6 x T 24 cm,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_429.jpg,cat_non_food
CUISINE,Glas-Auflaufform rechteckig,"€ 3,99",UVP 9.99,Kein Mengenpreis,"Aus Borosilikatglas Temperaturbeständig von -40 bis +300 °C Mikrowellen- und spülmaschinengeeignet Größe ca. B 35 x H 5,5 x T 22 cm",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_432.jpg,cat_non_food
SCHWARZKOPF,Gliss Shampoo oder Spülung,"€ 2,49",,1 l = 9.96 - 12.45,versch. Sorten,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_335.jpg,cat_drogerie
DIMPLE,Golden Selection Blended Scotch Whisky,"€ 19,99",24.99,1 l = 28.56,"bernsteinfarben, mild-rauchig und fruchtig mit weichem Abgang, 40 Vol. %",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_302.jpg,cat_getraenke
BONDUELLE,Goldmais oder Erbsen Möhrchen,"€ 6,99",,Abtropfgewicht 1170 g - 1260 g (1 kg = 5.55 - 5.98,süß bzw. zart und fein,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_201.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_huelsenfruechte,tag_ultra_processed"
K-CLASSIC,Gouda XXL,"€ 3,33",,1 kg = 6.66,"gerieben, 48 % Fett i. Tr.",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_149.jpg,cat_molkerei_kaese
PARKSIDE,Graphit-Öl-Spray,"€ 2,99",,1 l = 9.97,"Rostlöser, Schmiermittel und Korrosionsschutz Beseitigt Quietsch- und Knarrgeräusche Schmiert, schützt und pflegt Dringt tief ein Druckbeständig Silikonfrei Leicht dosierbar und sparsam im Gebrauch",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_391.jpg,cat_non_food
HERTA,Grill- oder Saftschinken,"€ 1,59",2.19,1 kg = 15.90,in Scheiben,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_098.jpg,"cat_fleisch_wurst,sub_schwein,sub_wurst,tag_ultra_processed"
GAZI,Grill- und Pfannenkäse,"€ 1,99",3.39,1 kg = 9.95) / (1 kg = 8.95)**,"halbfester Schnittkäse, versch. Sorten, 45 % Fett i. Tr.",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_142.jpg,"cat_molkerei_kaese,sub_kaese,sub_milchprodukte"
WIESBAUER,Grillbox Ribs Wings,"€ 9,99",,1 kg = 12.49,"Schweinerippen und Hühnerflügel in BBQ-Marinade, schonend vorgegart",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_093.jpg,cat_fleisch_wurst
Keine Marke,Grüne Oliven,"€ 0,99",,Kein Mengenpreis,"mit Basilikum verfeinert, ohne Stein",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_216.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_obst,tag_whole_food"
K-WERTSCHÄTZE,Gulasch gemischt von Schwein und Rind,"€ 14,90",16.90,Kein Mengenpreis,vom Schwein und Rind,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_116.jpg,"cat_fleisch_wurst,sub_rind,sub_schwein,tag_proteinreich"
NEQI,Haarpflegeprodukte,"€ 9,95",,1 l = 30.16 - 132.67,versch. Sorten,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_338.jpg,cat_drogerie
SYOSS,Haarspray,"€ 3,99",4.95,1 l = 9.98,versch. Sorten,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_337.jpg,cat_drogerie
K-PURLAND,Hackfleisch gemischt,"€ 3,69",,1 kg = 7.38,vom Schwein und Rind,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_092.jpg,cat_fleisch_wurst
OATLY,Haferdrink Barista,"€ 1,79",2.55,Kein Mengenpreis,"Original, Lighter Taste oder in Bio-Qualität",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_134.jpg,"cat_molkerei_kaese,diet_lactose_free,diet_vegan,diet_vegetarian"
PROTEFIX,Haft-Creme,"€ 1,99",2.45,1 kg = 42.34,"Extra-Stark, für die dritten Zähne, klassisch oder mit Aloe Vera",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_341.jpg,"cat_drogerie,tag_high_protein,tag_proteinreich"
MAINTAL,Hagebutten-Konfitüre Extra,"€ 1,79",2.19,1 kg = 5.27,aus Hagebuttenmark hergestellt,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_241.jpg,"cat_grundnahrung,diet_vegetarian"
K-CLASSIC,Haltbare Schlagsahne,"€ 1,99",,1 kg = 3.32,mind. 30 % Fett,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_136.jpg,cat_molkerei_kaese
K-CLASSIC,Haselnusskerne,"€ 2,79",3.49,1 kg = 13.95,"ganze Kerne, naturbelassen",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_246.jpg,cat_grundnahrung
MEHLIG HELLER,Hausmacher Spezialitäten,"€ 1,99",2.69,1 kg = 7.96,"Mutter's Leberwurst, Opa's Weißer oder Oma's Roter",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_105.jpg,cat_fleisch_wurst
Keine Marke,Haustier-Liegekissen,"€ 12,99",,Kein Mengenpreis,Bezug aus Polyester (Breitkord) Bezug und Innenkissen separat waschbar Größe ca. B 70 x H 8 x T 50 cm,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_422.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed,tag_whole_food"
ORIGINAL OETTINGER,Hefeweißbier,"€ 7,99",,1 l = 0.80,auch alkoholfrei (+ 3.10 Pfand),Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_311.jpg,"cat_getraenke,tag_ultra_processed"
TEFAL,Heißluftfritteuse EY1458 Easy Fry Compact,"€ 59,99",74.99,Kein Mengenpreis,"Zum Frittieren, Grillen, Rösten und Backen Zubereitung mit sehr wenig oder ohne Öl Fassungsvermögen ca. 3 l Digitales Touch-Display Mit 10 automatischen Gareinstellungen Temperatureinstellung bis 200 °C 60-min-Timer mit Abschaltautomatik Korbsystem spülmaschinengeeignet Größe ca. B/T 23 x H 29 cm Max. 1.300 W",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_383.jpg,cat_non_food
WELTENBURGER KLOSTER,Hell,"€ 12,99",17.99,1 l = 1.30,(+ 3.10 Pfand),Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_314.jpg,cat_getraenke
HOMANN,Hering in Marinade,"€ 3,29",,Abtropfgewicht 230 g - 270 g (1 kg = 12.19 - 14.31,"Bismarckhering, Gabelrollmops oder Bratheringsfilethappen",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_194.jpg,cat_grundnahrung
Keine Marke,Heringsfilets,"€ 8,99",,entspr. z. B. für eine 250-g-Packg. 2.25,"mit Haut, aufgetaut, 3 Stück",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_118.jpg,"cat_fisch_meeresfruechte,diet_gluten_free,diet_lactose_free,tag_whole_food"
PARKSIDE PERFORMANCE,Herren-Arbeitsbundhose Stretch,"€ 17,99",17.99,Kein Mengenpreis,"Aus recyceltem, GRS-zertifiziertem Polyester und Elastan (LYCRA®) Wasserabweisend Reflektierende Deko-Elemente Mit vielen Taschen für Werkzeug, Handy etc. Knieverstärkung aus CORDURA® Knieschoner-Einsatz möglich (nicht enthalten) Größen 48 - 56",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_482.jpg,cat_non_food
PARKSIDE,Herren-Arbeitssocken,"€ 4,49",,Kein Mengenpreis,"Aus Polyester, Baumwolle und Elastan (LYCRA®) Größen 39/42 - 43/46",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_484.jpg,cat_non_food
PARKSIDE,Herren-Cargo-Jogger,"€ 17,99",17.99,Kein Mengenpreis,"Aus recyceltem, RCS-zertifiziertem Polyester, Elastomultiester und Baumwolle Bequeme, legere Passform im Handwerkerstil Mit Eingrifftaschen und vielteiliger Cargotasche Mit elastischen Bündchen am Beinabschluss Ideal für Job und Freizeit Größen 48/50 - 60/62 (M - XXL)",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_483.jpg,cat_non_food
K-CLASSIC,Herzhafte Minis,"€ 0,99",1.29,1 kg = 8.61,"Sauermilchkäse, versch. Sorten, weniger als 1 % Fett",Nein,Dieses Angebot findest du vom 02.03. bis 04.03. in deiner Kaufland-Filiale.,2026-03-02,2026-03-04,images_kaufland/kaufland_offer_673.jpg,cat_grundnahrung
SCHUH S,Herzwaffeln,"€ 1,29",1.79,1 kg = 7.82,mit 8 % Butter und Bourbon-Vanille,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_228.jpg,"cat_grundnahrung,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_kartoffeln,tag_ultra_processed,tag_whole_food"
K-CLASSIC,High Protein Grießpudding XXL,"€ 1,69",,1 kg = 3.38,Pur oder Zimt,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_122.jpg,cat_molkerei_kaese
PARKSIDE,Hohlmeißel,"€ 2,99",,Kein Mengenpreis,Zum Ziehen von schmalen Kanälen in Beton Meißelschneide 22 mm Länge 250 mm Aufnahme gemäß SDS-plus-System,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_403.jpg,cat_non_food
LEERDAMMER,Holl Schnittkäse,"€ 1,39",2.89,1 kg = 9.93 - 13.90,"versch. Sorten, in Scheiben, 30 - 50 % Fett i. Tr.",Nein,Dieses Angebot findest du vom 02.03. bis 04.03. in deiner Kaufland-Filiale.,2026-03-02,2026-03-04,images_kaufland/kaufland_offer_002.jpg,"cat_molkerei_kaese,sub_kaese,sub_milchprodukte,tag_ultra_processed"
PONAL,Holzleim Ponal Express,"€ 2,99",5.99,1 kg = 24.92,"Gebrauchsfertiger, wasserbasierter Weißleim Schnell abbindend Kurzfristig wasserbeständig Frischer Leim mit Wasser entfernbar Auswaschbar Ohne Lösungsmittel",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_390.jpg,"cat_getraenke,diet_vegan,diet_vegetarian,tag_ultra_processed"
CESAR,Hundenahrung,"€ 0,75",0.89,1 kg = 5.00,versch. Sorten,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_330.jpg,cat_drogerie
VITAKRAFT,Hundesnack XXL,"€ 4,49",,1 kg = 17.96 - 22.45,"Filets, Bonas oder Strips, versch. Sorten",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_351.jpg,"cat_drogerie,tag_ultra_processed"
DAILY KITCHEN,Hähnchen-Cordon-Bleu oder -Chili-Cheese XXL,"€ 6,49",,1 kg = 8.66,"gefüllt, paniert, auch als Chili Cheese",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_088.jpg,"cat_fleisch_wurst,sub_gefluegel,tag_proteinreich,tag_ultra_processed"
K-PURLAND,Hähnchen-Schenkel XXL,"€ 6,79",,1 kg = 3.40,"mit Rückenstück, natur, HKL A",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_090.jpg,cat_fleisch_wurst
K-PURLAND,Hähnchenbrustfilet- Teilstücke XXL,"€ 7,77",,Kein Mengenpreis,natur,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_091.jpg,cat_fleisch_wurst
K-PURLAND,Hähnchenflügel,"€ 2,69",,1 kg = 4.90,"natur, HKL A",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_087.jpg,cat_fleisch_wurst
SPREHE,Hähnchenschnitzel,"€ 4,99",6.99,1 kg = 6.66,"Wiener Art, extra dünn, gewürzt, mit klassischer Ei-Panade",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_167.jpg,"cat_tiefkuehl,sub_gefluegel,tag_proteinreich"
ANSMANN,Hörgerätebatterien 312 PR41 oder 13 PR48,"€ 1,99",UVP 6.49,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_360.jpg,cat_non_food
KRINI,Hülsenfrüchte versch Sorten,"€ 3,00",,Abtropfgewicht 240 g (1 kg = 4.17,"Kichererbsen, Linsen oder versch. Sorten Bohnen",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_197.jpg,"cat_grundnahrung,diet_vegan,diet_vegetarian,sub_huelsenfruechte,tag_whole_food"
MÖVENPICK,Iced Coffee,"€ 0,99",1.59,1 kg = 4.95,Macchiato oder Cappuccino,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_127.jpg,"cat_molkerei_kaese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_ultra_processed"
CAVINO,Imiglykos,"€ 2,39",2.99,1 l = 3.19,"Tafelwein, Griechenland, fruchtig, rund, passt zu kräftigen Fleischgerichten",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_307.jpg,cat_getraenke
Kalbskotelett,in Scheiben,"€ 16,90",24.90,Kein Mengenpreis,in Scheiben,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_115.jpg,"cat_fleisch_wurst,sub_kaese,sub_milchprodukte,sub_rind"
K-CLASSIC,Instant-Teegetränk,"€ 0,89",1.79,1 kg = 2.23,versch. Sorten,Nein,Dieses Angebot findest du vom 02.03. bis 04.03. in deiner Kaufland-Filiale.,2026-03-02,2026-03-04,images_kaufland/kaufland_offer_004.jpg,cat_grundnahrung
Keine Marke,Isolierbecher ca 1 200 ml,"€ 6,99",,Kein Mengenpreis,Aus Edelstahl Doppelwandig Deckel aus Kunststoff Fassungsvermögen ca. 1.200 ml Größe ca. Ø 9 x 26 cm,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_435.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food"
Keine Marke,Isolierbecher ca 900 ml,"€ 6,99",,Kein Mengenpreis,Aus Edelstahl Doppelwandig Deckel aus Kunststoff Fassungsvermögen ca. 900 ml Größe ca. Ø 9 x 24 cm,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_434.jpg,"cat_getraenke,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food"
Keine Marke,Ital Bio-Kiwis,"€ 1,99",2.79,Kein Mengenpreis,Kl. I,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_050.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_gemuese,sub_frisches_obst,tag_whole_food"
Keine Marke,Ital Blattspinat,"€ 1,99",2.79,1 kg = 3.98,Kl. I,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_061.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_gemuese,sub_frisches_obst,sub_tk_gemuese,tag_whole_food"
Keine Marke,Ital Kopfsalat oder Endiviensalat lose,"€ 1,29",1.59,Kein Mengenpreis,Kl. I,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_058.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_gemuese,sub_salate,tag_whole_food"
DELVERDE,Ital Teigwaren,"€ 3,00",,Kein Mengenpreis,versch. Ausformungen,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_239.jpg,"cat_grundnahrung,diet_vegetarian,sub_nudeln"
Keine Marke,Ital span Kräuter,"€ 0,69",0.99,1 kg = 27.60,"z.B. Minze, Petersilie glatt, Schnittlauch, Dill oder Koriander",Nein,Dieses Angebot findest du vom 02.03. bis 04.03. in deiner Kaufland-Filiale.,2026-03-02,2026-03-04,images_kaufland/kaufland_offer_665.jpg,"cat_obst_gemuese,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_exoten,sub_frisches_gemuese,sub_frisches_obst,sub_kraeuter,tag_whole_food"
LANDLIEBE,Joghurt,"€ 1,11",,1 kg = 2.22,"Fruchtjoghurt 3,8 %, versch. Sorten, oder Rahmjoghurt 10 % Fett im Milchanteil (+ 0.15 Pfand)",Nein,Dieses Angebot findest du vom 02.03. bis 04.03. in deiner Kaufland-Filiale.,2026-03-02,2026-03-04,images_kaufland/kaufland_offer_672.jpg,"cat_molkerei_kaese,diet_vegetarian,sub_joghurt_skyr_quark,sub_milchprodukte,sub_sahne_creme,tag_ultra_processed"
Keine Marke,Junge Ente,"€ 3,69",5.83,Kein Mengenpreis,"mit Innereien, bratfertig, ca. 1,6 - 2,8-kg-Stück",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_165.jpg,"cat_tiefkuehl,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,sub_frisches_obst,sub_gefluegel,tag_whole_food"
HOUDEK,Kabanos,"€ 1,79",,1 kg = 11.94,"heißgeräucherte Salamispezialität, versch. Sorten",Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_103.jpg,"cat_fleisch_wurst,sub_schwein,sub_wurst,tag_ultra_processed"
DALLMAYR,Kaffee-Pads,"€ 2,22",3.29,1 kg = 19.83,Prodomo oder Crema d'Oro mild & fein,Nein,Dieses Angebot findest du vom 26.02. bis 04.03. in deiner Kaufland-Filiale.,2026-02-26,2026-03-04,images_kaufland/kaufland_offer_257.jpg,"cat_knabbern_naschen,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian"
