Marke,Produkt,Preis,Vorheriger_Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels
LIV BO,Vakuum-Aufbewahrungsbeutel 1 x ca 90 x 120 cm,"€ 1,49",,Kein Mengenpreis,"Aus Kunststoff Luftabsaugen mit handelsüblichen Staubsaugern Mit Rückschlagventil Platzsparend – bis zu 75 % weniger Volumen Wiederverwendbar Schützt vor Staub, Feuchtigkeit und Gerüchen Größe ca. 90 x 120 cm",Nein,Dieses Angebot findest du vom 05.03. bis 11.03. in deiner Kaufland-Filiale.,2026-03-05,2026-03-11,images_kaufland/kaufland_offer_417.jpg,cat_non_food
LIV BO,Vakuum-Aufbewahrungsbeutel 2 x ca 60 x 100 cm,"€ 1,49",,Kein Mengenpreis,"Aus Kunststoff Luftabsaugen mit handelsüblichen Staubsaugern Mit Rückschlagventil Platzsparend – bis zu 75 % weniger Volumen Wiederverwendbar Schützt vor Staub, Feuchtigkeit und Gerüchen Größe je ca. 60 x 100 cm",Nein,Dieses Angebot findest du vom 05.03. bis 11.03. in deiner Kaufland-Filiale.,2026-03-05,2026-03-11,images_kaufland/kaufland_offer_414.jpg,cat_non_food
K-TAKE IT VEGGIE,Vegane Creme,"€ 0,66",0.74,1 kg = 4.94) / (1 kg = 4.40)**,"zum Kochen und Verfeinern, pur oder mit Kräutern",Nein,Dieses Angebot findest du vom 05.03. bis 11.03. in deiner Kaufland-Filiale.,2026-03-05,2026-03-11,images_kaufland/kaufland_offer_154.jpg,"cat_molkerei_kaese,diet_lactose_free,diet_vegan,diet_vegetarian,sub_fleischersatz,tag_ultra_processed"
RÜGENWALDER MÜHLE,Vegane Wurstalternative,"€ 1,11",1.59,1 kg = 13.88 - 15.86,"Schinken-Spicker, versch. Sorten, Mühlensalami oder Hauchgenuss Typ Hähnchen",Nein,Dieses Angebot findest du vom 05.03. bis 11.03. in deiner Kaufland-Filiale.,2026-03-05,2026-03-11,images_kaufland/kaufland_offer_198.jpg,"cat_grundnahrung,diet_lactose_free,diet_vegan,diet_vegetarian,sub_fleischersatz,sub_wurst"
CASAL GARCIA,Vinho Verde,"€ 3,99",4.79,1 l = 5.32,"Portugal, erfrischend, spritzig und fruchtig, ideal als Aperitif, passt zu Fisch, Meeresfrüchten und Salat",Nein,Dieses Angebot findest du vom 05.03. bis 11.03. in deiner Kaufland-Filiale.,2026-03-05,2026-03-11,images_kaufland/kaufland_offer_302.jpg,cat_getraenke
HARRY,Vital fit Mehrkornbrot,"€ 1,29",,1 kg = 2.58,"mit Leinsamen und Sonnenblumenkernen, in Scheiben",Nein,Dieses Angebot findest du vom 05.03. bis 11.03. in deiner Kaufland-Filiale.,2026-03-05,2026-03-11,images_kaufland/kaufland_offer_226.jpg,"cat_grundnahrung,diet_vegetarian,tag_ultra_processed,tag_whole_food"
THREE SIXTY,Vodka,"€ 9,99",,1 l = 14.28,"vierfach destilliert, mild, elegant und weich im Geschmack, 37,5 Vol. %",Nein,Dieses Angebot findest du vom 09.03. bis 11.03. in deiner Kaufland-Filiale.,2026-03-09,2026-03-11,images_kaufland/kaufland_offer_614.jpg,cat_getraenke
DALLI,Voll- oder Colorwaschmittel,"€ 5,99",6.99,pro Anwendung = 0.12,"Pulver 2,5 kg oder flüssig 2,25 l, = 50 Anwendungen",Nein,Dieses Angebot findest du vom 05.03. bis 11.03. in deiner Kaufland-Filiale.,2026-03-05,2026-03-11,images_kaufland/kaufland_offer_319.jpg,cat_drogerie
LIV BO,Waschmaschinen- Überbauschrank,"€ 39,99",,Kein Mengenpreis,Für mehr Stauraum im Badezimmer Mit 2 höhenverstellbaren Einlegeböden Pflegeleichte Melaminharzbeschichtung Hochwertige Beschläge und Griffe aus Metall Belastbarkeit je Einlegeboden 6 kg Mit bodenschonenden Möbelgleitern Größe ca. B 65 x H 190 x T 25 cm Für Waschmaschinen bis B 60 x H 85 cm Inkl. Montagematerial,Nein,Dieses Angebot findest du vom 05.03. bis 11.03. in deiner Kaufland-Filiale.,2026-03-05,2026-03-11,images_kaufland/kaufland_offer_346.jpg,cat_drogerie
WC-ENTE,WC-Reiniger,"€ 1,89",,1 l = 2.52,versch. Sorten,Nein,Dieses Angebot findest du vom 05.03. bis 11.03. in deiner Kaufland-Filiale.,2026-03-05,2026-03-11,images_kaufland/kaufland_offer_328.jpg,cat_drogerie
