Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad
Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad
Handgeschirrspülmittel Limited Edition,Pril,"€ 1,29",,1-Preis 2.87,,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_aldi/aldi_offer_117.jpg
Auflaufkäse,Landliebe,"€ 1,49",,"2,59 €",,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_aldi/aldi_offer_118.jpg
Saltletts Crunchy Bites Rosmarin,Lorenz,"€ 1,49",,kg-Preis 14.90,,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_aldi/aldi_offer_119.jpg
Geräucherte Lachsforelle,Gourmet Finest Cuisine,"€ 8,99",,11.99 €/kg,,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_aldi/aldi_offer_120.jpg
Vegetarischer Linsen-Eintopf,Erasco,"€ 2,19",,2.74 €/kg,,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_aldi/aldi_offer_121.jpg
Würz-Spinat mit Zwiebeln,Iglo,"€ 1,79",,kg-Preis 3.58,,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_aldi/aldi_offer_122.jpg
Knabber-Kabanos,Houdek,"€ 1,79",,kg-Preis 22.38,,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_aldi/aldi_offer_123.jpg
Hülsenfrüchte,BON-RI,"€ 1,29",,2.58 €/kg,,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_aldi/aldi_offer_124.jpg
Winterfreude,Pukka,"€ 2,99",,"UVP
3,99 €",,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_aldi/aldi_offer_125.jpg
Bio-Almbutter,Andechser,"€ 2,79",,"3,79 €",,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_aldi/aldi_offer_126.jpg
Bio-Joghurt mild,Andechser,"€ 1,19",,"UVP
1,59 €",,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_aldi/aldi_offer_127.jpg
Vegane Bio-Mayo,Nur Nur Natur,"€ 1,49",,l-Preis 9.31,,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_aldi/aldi_offer_128.jpg
Gouda Schnitzel,Valess,"€ 1,99",,12.44 €/kg,,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_aldi/aldi_offer_129.jpg
Kokosmilch-Pulver,Bio,"€ 3,49",,23.27 €/kg,,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_aldi/aldi_offer_130.jpg
Oliven Snack Kalamata und Grüne Oliven,Bio,"€ 1,19",,11.90 €/kg,,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_aldi/aldi_offer_131.jpg
Vegane Bio-Schnetzel,Bio,"€ 2,29",,18.32 €/kg,,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_aldi/aldi_offer_132.jpg
Bio-Risotto-Reis,Bio,"€ 2,29",,4.58 €/kg,,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_aldi/aldi_offer_133.jpg
Dinkel-Steinofenpizza,Bio,"€ 2,99",,Kein Mengenpreis,,Nein,2026-01-12 bis 2026-01-18,2026-01-12,2026-01-18,images_aldi/aldi_offer_134.jpg
