Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels
Bellis,Gardenline,"€ 1,49",,Kein Mengenpreis,,Nein,manual: gueltig von 09.03.26 - 14.03.26,09.03.26,14.03.26,images_aldi/aldi_offer_069.jpg,"cat_non_food,diet_gluten_free,diet_lactose_free,diet_vegan,diet_vegetarian,tag_whole_food"
Rhododendron,Gardenline,"€ 3,49",,Kein Mengenpreis,,Nein,manual: gueltig von 09.03.26 - 14.03.26,09.03.26,14.03.26,images_aldi/aldi_offer_070.jpg,"cat_non_food,diet_lactose_free,diet_vegan,diet_vegetarian"
Oster- Frühlingsfiguren,HOME CREATION,"€ 7,99",,Kein Mengenpreis,,Nein,manual: gueltig von 09.03.26 - 14.03.26,09.03.26,14.03.26,images_aldi/aldi_offer_071.jpg,cat_non_food
Deko-Hase,HOME CREATION,"€ 9,99",,Kein Mengenpreis,,Nein,manual: gueltig von 09.03.26 - 14.03.26,09.03.26,14.03.26,images_aldi/aldi_offer_072.jpg,"cat_non_food,tag_ultra_processed"
Osterkranz,HOME CREATION,"€ 5,99",,Kein Mengenpreis,,Nein,manual: gueltig von 09.03.26 - 14.03.26,09.03.26,14.03.26,images_aldi/aldi_offer_073.jpg,cat_non_food
Oster-Dekoration aus Papier,HOME CREATION,"€ 1,99",,Kein Mengenpreis,,Nein,manual: gueltig von 09.03.26 - 14.03.26,09.03.26,14.03.26,images_aldi/aldi_offer_074.jpg,cat_non_food
Ostereier-Dekoration,HOME CREATION,"€ 2,49",,Kein Mengenpreis,,Nein,manual: gueltig von 09.03.26 - 14.03.26,09.03.26,14.03.26,images_aldi/aldi_offer_075.jpg,cat_non_food
Blanko-Leinwände,HOME CREATION,"€ 3,49",,Kein Mengenpreis,,Nein,manual: gueltig von 09.03.26 - 14.03.26,09.03.26,14.03.26,images_aldi/aldi_offer_076.jpg,cat_non_food
Große Bastelbox,HOME CREATION,"€ 4,99",,Kein Mengenpreis,,Nein,manual: gueltig von 09.03.26 - 14.03.26,09.03.26,14.03.26,images_aldi/aldi_offer_077.jpg,cat_non_food
Keramik-Oster-Deko,Home Creation,"€ 3,49",,Kein Mengenpreis,,Nein,manual: gueltig von 09.03.26 - 14.03.26,09.03.26,14.03.26,images_aldi/aldi_offer_078.jpg,"cat_non_food,tag_ultra_processed"
Acrylfarbe,HOME CREATION,"€ 0,59",,1 l = 5.90,,Nein,manual: gueltig von 09.03.26 - 14.03.26,09.03.26,14.03.26,images_aldi/aldi_offer_079.jpg,cat_non_food
Oster-Plüsch-Gnom,HOME CREATION,"€ 1,99",,Kein Mengenpreis,,Nein,manual: gueltig von 09.03.26 - 14.03.26,09.03.26,14.03.26,images_aldi/aldi_offer_080.jpg,cat_non_food
Steckdosenadapter mit USB,WORKZONE,"€ 6,99",,Kein Mengenpreis,,Nein,manual: gueltig von 09.03.26 - 14.03.26,09.03.26,14.03.26,images_aldi/aldi_offer_081.jpg,"cat_non_food,diet_vegetarian"
Funktionshose,LILY DAN,"€ 6,99",,Kein Mengenpreis,,Nein,manual: gueltig von 09.03.26 - 14.03.26,09.03.26,14.03.26,images_aldi/aldi_offer_082.jpg,cat_non_food
4-fach-Steckdosenleiste,WORKZONE,"€ 7,99",,Kein Mengenpreis,,Nein,manual: gueltig von 09.03.26 - 14.03.26,09.03.26,14.03.26,images_aldi/aldi_offer_083.jpg,cat_non_food
Packband mit Abroller,Expertiz,"€ 2,49",,m-Preis 0.01,,Nein,manual: gueltig von 09.03.26 - 14.03.26,09.03.26,14.03.26,images_aldi/aldi_offer_084.jpg,"cat_non_food,tag_ultra_processed"
Arbeitshose,TOPCRAFT,"€ 12,99",,Kein Mengenpreis,,Nein,manual: gueltig von 09.03.26 - 14.03.26,09.03.26,14.03.26,images_aldi/aldi_offer_085.jpg,cat_non_food
Batterien AA,Activ Energy,"€ 2,99",,Kein Mengenpreis,,Nein,manual: gueltig von 09.03.26 - 14.03.26,09.03.26,14.03.26,images_aldi/aldi_offer_086.jpg,"cat_getraenke,diet_vegetarian,tag_ultra_processed"
Arbeitshose Damen,TOPCRAFT,"€ 14,99",,Kein Mengenpreis,,Nein,manual: gueltig von 09.03.26 - 14.03.26,09.03.26,14.03.26,images_aldi/aldi_offer_087.jpg,cat_non_food
LED-Akku-Arbeitsstrahler,Workzone,"€ 9,99",,Kein Mengenpreis,,Nein,manual: gueltig von 09.03.26 - 14.03.26,09.03.26,14.03.26,images_aldi/aldi_offer_088.jpg,cat_non_food
Verlängerungskabel,WORKZONE,"€ 9,99",,Kein Mengenpreis,,Nein,manual: gueltig von 09.03.26 - 14.03.26,09.03.26,14.03.26,images_aldi/aldi_offer_089.jpg,cat_non_food
Möbeltransport-Set,WORKZONE,"€ 9,99",,Kein Mengenpreis,,Nein,manual: gueltig von 09.03.26 - 14.03.26,09.03.26,14.03.26,images_aldi/aldi_offer_090.jpg,"cat_non_food,diet_vegetarian"
Winkelmaß,WORKZONE,"€ 3,49",,Kein Mengenpreis,,Nein,manual: gueltig von 09.03.26 - 14.03.26,09.03.26,14.03.26,images_aldi/aldi_offer_091.jpg,"cat_fleisch_wurst,diet_vegetarian,tag_ultra_processed"
