Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,assigned_labels
Aluminium-Relaxsessel,Livarno,"€ 44,99",,"59,99 €",,Nein,,,,images_lidl/lidl_offer_224.jpg,cat_non_food
Aluminium-Hocker,Livarno,"€ 19,99",,"24,99 €",,Nein,,,,images_lidl/lidl_offer_225.jpg,cat_non_food
Niedriglehner- Polsterauflage,Livarno,"€ 7,99",,"11,99 €",,Nein,,,,images_lidl/lidl_offer_226.jpg,cat_non_food
Aluminium-Klapptisch,Livarno,"€ 44,99",,"54,99 €",,Nein,,,,images_lidl/lidl_offer_227.jpg,cat_non_food
Aluminium-Sonnenliege,Livarno,"€ 49,99",,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_228.jpg,cat_non_food
Sonnenschirm,Livarno,"€ 19,99",,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_229.jpg,cat_non_food
Schutzhülle,Livarno,"€ 3,99",,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_230.jpg,cat_non_food
Gartenmöbel-Schutzhülle,Livarno Home,"€ 12,99",,"17,99 €",,Nein,,,,images_lidl/lidl_offer_231.jpg,cat_non_food
Gartenbox,Livarno Home,"€ 129,00",,"139,00 €",,Nein,,,,images_lidl/lidl_offer_232.jpg,cat_non_food
Aluminium-Liegestuhl,Livarno Home,"€ 69,99",,"79,99 €",,Nein,,,,images_lidl/lidl_offer_233.jpg,cat_non_food
Aluminium-Gartenmöbelset 5-teilig,Livarno Home,"€ 99,00",,"278,96 €",,Nein,,,,images_lidl/lidl_offer_234.jpg,cat_non_food
Sonnenschirm,Livarno Home,"€ 39,99",,"49,99 €",,Nein,,,,images_lidl/lidl_offer_235.jpg,cat_non_food
Teleskop-Pflanzenroller,Parkside,"€ 14,99",,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_236.jpg,cat_non_food
Messing-2-Wege-Verteiler -Stecksystem -Wasserhahn -Gartenspritze,PARKSIDE,"€ 3,49",,"7,99 €",,Nein,,,,images_lidl/lidl_offer_237.jpg,cat_non_food
Klarwasser- Schmutzwasser-Tauchpumpe,PARKSIDE,"€ 39,99",,Kein Mengenpreis,,Nein,,,,images_lidl/lidl_offer_238.jpg,cat_non_food
