Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad
Pick Up,Keine Marke,"€ 1,99","€ 3,79",14.21 / kg,versch. Sorten,Nein,"Wochenangebote gültig von Montag, 01.12.25 - Samstag, 06.12.25",01.12.25,06.12.25,images_netto/netto_offer_087.png
Schluckwerder Mini Nugat Baumstämme,Keine Marke,"€ 1,99","€ 2,49",13.27 / kg,versch. Sorten,Nein,"Wochenangebote gültig von Montag, 01.12.25 - Samstag, 06.12.25",01.12.25,06.12.25,images_netto/netto_offer_088.png
Dänische Buttercookies,Keine Marke,"€ 4,99",Kein vorheriger Preis,6.65 / kg,,Nein,"Wochenangebote gültig von Montag, 01.12.25 - Samstag, 06.12.25",01.12.25,06.12.25,images_netto/netto_offer_089.png
Feine Nürnberger Oblaten-Lebkuchen,Keine Marke,"€ 2,22","€ 2,49",11.10 / kg,versch. Sorten,Nein,"Wochenangebote gültig von Montag, 01.12.25 - Samstag, 06.12.25",01.12.25,06.12.25,images_netto/netto_offer_090.png
Baumkuchen,Keine Marke,"€ 4,49","€ 4,99",14.97 / kg,versch. Sorten,Nein,"Wochenangebote gültig von Montag, 01.12.25 - Samstag, 06.12.25",01.12.25,06.12.25,images_netto/netto_offer_091.png
"Lebkuchen Herzen, Sterne, Brezeln",Keine Marke,"€ 2,99","€ 3,99",5.98 / kg,versch. Sorten,Nein,"Wochenangebote gültig von Montag, 01.12.25 - Samstag, 06.12.25",01.12.25,06.12.25,images_netto/netto_offer_092.png
Oreo Kekse,Keine Marke,"€ 1,49","€ 1,89",9.49 - 9.68 / kg,versch. Sorten,Nein,"Wochenangebote gültig von Montag, 01.12.25 - Samstag, 06.12.25",01.12.25,06.12.25,images_netto/netto_offer_093.png
Milka & Oreo Weihnachtsmischung,Keine Marke,"€ 5,49","€ 6,99",24.51 - 24.84 / kg,,Nein,"Wochenangebote gültig von Montag, 01.12.25 - Samstag, 06.12.25",01.12.25,06.12.25,images_netto/netto_offer_094.png
Milka Naps Weihnachten,Keine Marke,"€ 3,99","€ 5,39",34.70 / kg,,Nein,"Wochenangebote gültig von Montag, 01.12.25 - Samstag, 06.12.25",01.12.25,06.12.25,images_netto/netto_offer_095.png
Milka Schneemann,Keine Marke,"€ 0,99","€ 1,89",19.80 / kg,,Nein,"Wochenangebote gültig von Montag, 01.12.25 - Samstag, 06.12.25",01.12.25,06.12.25,images_netto/netto_offer_096.png
