Marke,Produkt,Preis,Vorheriger_Preis,Preis_kg,Hinweis,Einheit,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad
BIRKMANN,Ausstech-Set »Merry Christmas«,4.99,UVP7.95,,-37%,je 2-teilig,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_445.jpg
LIV&BO®,LED-Deko-Figur »Weihnachtsmann«,14.99,,,nur,je,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_446.jpg
LIV&BO®,Geschenkpapier,0.99,,1 m² = 0.29,nur,je 5-m-Rolle,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_448.jpg
KAISER,12er-Muffinform »Gourmet«,4.99,UVP14.99,,-66%,je,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_449.jpg
SPICE&SOUL®,Keksdosen-Set »Schneemann«,3.99,,,nur,je 3-teilig,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_450.jpg
LIV&BO®,Maxi-Duftkerze im Glas,1.99,,,nur,je,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_451.jpg
LIV&BO®,LED-Lichterbaum »Kirschbaum«,19.99,,,nur,je,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_452.jpg
BIRKMANN,Ausstech-Set »Winter-Wonderland«,4.99,UVP7.95,,-37%,je 2-teilig,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_453.jpg
LIV&BO®,LED-Lichtervorhang mit 96 LEDs,7.99,9.99,,-20%,je,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_454.jpg
LIV&BO®,LED-Lichtervorhang mit 40 LEDs,5.99,,,nur,je,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_455.jpg
BIRKMANN,Ausstech-Set »Schaukelpferd«,4.99,UVP7.95,,-37%,je 2-teilig,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_456.jpg
LIV&BO®,LED-Leuchtstern,9.99,,,nur,je,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_457.jpg
LIV&BO®,LED-Eiszapfen-Lichterkette mit 148 warmweißen LEDs,12.99,19.99,,-35%,je,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_458.jpg
SPICE&SOUL®,Keksdosen-Set rechteckig,3.99,,,nur,je 3-teilig,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_459.jpg
LIV&BO®,Geschenkpapier »Disney«,0.99,,1 m² = 0.29,nur,je 5-m-Rolle,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_461.jpg
SPICE&SOUL®,Keksdosen-Set quadratisch,3.99,,,nur,je 3-teilig,Nein,Dieses Angebot findest du vom 13.11. bis 19.11. in deiner Kaufland-Filiale.,2025-11-13,2025-11-19,images_kaufland/kaufland_offer_462.jpg
