Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,Score
"Fanta, Sprite oder Mezzo Mix",Keine Marke,"€ 1,19",Kein vorheriger Preis,0.95 / l,"teilweise koffeinhaltig, versch. Sorten",Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_015.png,0
"""So Expert"" Pfanne",Keine Marke,,"€ 43,99",Kein Mengenpreis,"mit langlebiger Titanium 2x Antihaft-Versiegelung, Tefal Thermosignal® Temperaturindikator für perfektes Anbraten, für alle Herdarten geeignet, auch für Induktion, ergonomischer Griff aus Thermokunststoff Ø ca. 24 cm, Ø ca. 28 cm",Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_017.png,0
Clementinen,Keine Marke,"€ 3,33",Kein vorheriger Preis,1.45 / kg,"Spanien/Griechenland, Kl. I",Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_006.png,0
Weihnachtsstern Busch,Keine Marke,"€ 6,0",Kein vorheriger Preis,Kein Mengenpreis,"ca. 40 cm hoch, Ø = 17 cm",Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_036.png,0
Moosfarn,Keine Marke,"€ 2,8",Kein vorheriger Preis,Kein Mengenpreis,"ca. 15 cm hoch, Ø = 9 cm",Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_037.png,0
Moosrosen,Keine Marke,"€ 1,0",Kein vorheriger Preis,Kein Mengenpreis,"ca. 30 cm lang, versch. Farben",Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_039.png,0
Spathiphyllum,Keine Marke,"€ 6,0",Kein vorheriger Preis,Kein Mengenpreis,"ca. 30 cm hoch, versch. dekoriert, Ø = 14 cm",Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_038.png,0
dekoriertes Tannenbäumchen,Keine Marke,"€ 8,0",Kein vorheriger Preis,Kein Mengenpreis,"Picea ca. 50 cm hoch, versch. Ausführungen, Ø = 13 cm",Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_041.png,0
Marken-Metzger Salami-Sortiment,Keine Marke,"€ 1,49",Kein vorheriger Preis,14.90 / kg,versch. Sorten,Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_042.png,0
Bärchen-Wurst,Keine Marke,"€ 1,29","€ 1,49",14.33 / kg,versch. Sorten,Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_043.png,0
gewachste Amaryllis,Keine Marke,"€ 7,0",Kein vorheriger Preis,Kein Mengenpreis,"ca. 15 cm hoch, weihnachtlich dekoriert",Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_040.png,0
Bifi,Keine Marke,"€ 2,0",Kein vorheriger Preis,14.74 – 16.58 / kg,versch. Sorten,Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_045.png,0
Rohschinkenspezialitäten,Keine Marke,"€ 1,19",Kein vorheriger Preis,14.88 / kg,versch. Sorten,Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_046.png,0
Leberwurst oder Teewurst,Keine Marke,"€ 1,19","€ 1,39",6.80 - 9.52 / kg,versch. Sorten Regionale Verpackungsabweichungen möglich,Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_047.png,0
Bayerischer Preßsack,Keine Marke,"€ 2,49",Kein vorheriger Preis,6.23 / kg,versch. Sorten,Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_048.png,0
Wiener Würstchen,Keine Marke,"€ 2,8",Kein vorheriger Preis,6.98 / kg,über Buchenholz geräuchert Regionale Verpackungsabweichungen möglich,Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_049.png,0
Suppenfleisch vom Rind,Keine Marke,"€ 6,8",Kein vorheriger Preis,13.58 / kg,ohne Knochen,Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_050.png,0
Rinder-Minutensteaks,Keine Marke,"€ 5,49",Kein vorheriger Preis,17.16 / kg,"aus der Keule, küchenfertig gewürzt",Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_051.png,0
Leberkäse Brotzeitscheiben,Keine Marke,"€ 2,0",Kein vorheriger Preis,13.27 / kg,fein,Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_044.png,0
Norwegisches Lachsfilet,Keine Marke,"€ 1,7",Kein vorheriger Preis,16.90 / kg,"mit Haut, praktisch grätenfrei, ca. 1 kg",Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_052.png,0
Schweine-Schinkenbraten,Keine Marke,"€ 6,0",Kein vorheriger Preis,Kein Mengenpreis,"aus der Nuss, vakuumverpackt, ca. 1,2 kg",Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_053.png,0
Hähnchen-Geschnetzeltes,Keine Marke,"€ 4,0",Kein vorheriger Preis,9.98 / kg,natur,Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_055.png,0
Schweine-Schälrippen,Keine Marke,"€ 5,0",Kein vorheriger Preis,Kein Mengenpreis,"vakuumverpackt, ca. 1 kg",Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_054.png,0
Hähnchen-Schenkel,Keine Marke,"€ 4,0",Kein vorheriger Preis,3.63 / kg,"mit Rückenstück, natur, Hkl. A",Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_056.png,0
Hähnchen-Ministeaks,Keine Marke,"€ 4,0",Kein vorheriger Preis,9.98 / kg,frisch,Nein,"Wochenangebote gültig von Montag, 24.11.25 - Samstag, 29.11.25",2025-11-24,2025-11-29,images_netto/netto_offer_057.png,0
