Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,Score
Bauernschätze Lachsrolle,Keine Marke,"€ 1,11",Kein vorheriger Preis,Kein Mengenpreis,"vom Schweinerücken, natur, am Stück auch in Scheiben natur erhältlich, 100 g = 1,19 € (auch in gewürzt erhältlich, 100 g = 1,29 €), 100 g",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/bauernsch-tze-lachsrolle.jpg,0
Bauernschätze Schweineschnitzel,Keine Marke,"€ 1,11",Kein vorheriger Preis,Kein Mengenpreis,"aus der Keule, 100 g",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/bauernsch-tze-schweineschnitzel.jpg,0
Bauernschätze Hackbraten,Keine Marke,"€ 0,99",Kein vorheriger Preis,Kein Mengenpreis,"vom Schwein, verschieden gewürzt, 100 g",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/bauernsch-tze-hackbraten.jpg,0
Bauernschätze Putenrollbraten,Keine Marke,"€ 1,79",Kein vorheriger Preis,Kein Mengenpreis,"aus der Brust, gewürzt auch in natur erhältlich, 100 g = 1,69 €, 100 g",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/bauernsch-tze-putenrollbraten.jpg,0
Spießbraten,Keine Marke,"€ 0,89",Kein vorheriger Preis,Kein Mengenpreis,100 g,Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/spie-braten.jpg,0
Kohlroulade,Keine Marke,"€ 6,99",Kein vorheriger Preis,"1 kg = 11,65 €","verschiedene Gewichte, auch in Bedienung erhältlich, z. B. 600 g SB-Packung, (1 kg = 11,65 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/kohlroulade.jpg,0
Hähnchen Flügel,Keine Marke,"€ 2,99",Kein vorheriger Preis,"1 kg = 7,48 €","ohne Spitze, frisch, gewürzt, verschiedene Gewichte, z. B. 400 g SB-Packung, (1 kg = 7,48 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/h-hnchen-fl-gel.jpg,0
Schweineschnitzel,Keine Marke,"€ 8,49",Kein vorheriger Preis,"1 kg = 8,49 €","aus der Keule, 1 kg XXL-SB-Packung, (1 kg = 8,49 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/schweineschnitzel.jpg,0
MM Extra Sekt,Keine Marke,"€ 3,00",Kein vorheriger Preis,"1 l = 4,00 €","verschiedene Sorten oder Alkoholfrei, 0,75 Liter Flasche, (1 l = 4,00 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/mm-extra-sekt.jpg,0
Freixenet Premium Sparkling Wine,Keine Marke,"€ 3,99",Kein vorheriger Preis,"1 l = 5,32 €","verschiedene Sorten, 0,75 Liter Flasche, (1 l = 5,32 €)",Nein,Gültig vom 24.11.2025 bis zum 29.11.2025,2025-11-24,2025-11-29,images_edeka/freixenet-premium-sparkling-wine.jpg,0
