Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad,Score
Dr. Oetker High Protein Porridge,Keine Marke,"€ 1,99",Kein vorheriger Preis,"1 kg = 4,98","Klassisch, je 400-g-Becher",Nein,24.11.2025 bis 30.11.2025,2025-11-24,2025-11-30,images_rewe/rewe_offer_51.jpg,0
Weihenstephan Schlagsahne,Keine Marke,"€ 2,49",Kein vorheriger Preis,"1 kg = 4,98","32% Fett, je 500-g-Pckg",Nein,24.11.2025 bis 30.11.2025,2025-11-24,2025-11-30,images_rewe/rewe_offer_50.jpg,0
Meine Lieblinge Lachs,Keine Marke,"€ 3,29",Kein vorheriger Preis,"1 kg = 32,90",je 100-g-Pckg,Nein,24.11.2025 bis 30.11.2025,2025-11-24,2025-11-30,images_rewe/rewe_offer_52.jpg,0
REWE Feine Welt Tiramisu mit Spekulatiusbröseln,Keine Marke,"€ 1,99",Kein vorheriger Preis,"1 kg = 9,95",je 2 x 100-g-Pckg,Nein,24.11.2025 bis 30.11.2025,2025-11-24,2025-11-30,images_rewe/rewe_offer_53.jpg,0
Yakult,Keine Marke,"€ 2,99",Kein vorheriger Preis,"1 l = 7,67",je 6 x 65-ml-Fl.-Pckg,Nein,24.11.2025 bis 30.11.2025,2025-11-24,2025-11-30,images_rewe/rewe_offer_55.jpg,0
REWE Beste Wahl Schlagsahne,Keine Marke,"€ 0,89",Kein vorheriger Preis,"1 kg = 4,45","mind. 33% Fett, je 200-g-Becher",Nein,24.11.2025 bis 30.11.2025,2025-11-24,2025-11-30,images_rewe/rewe_offer_56.jpg,0
REWE Feine Welt Cheesecake,Keine Marke,"€ 1,49",Kein vorheriger Preis,"1 kg = 17,53","Spekulatius, je 85-g-Glas-Pckg",Nein,24.11.2025 bis 30.11.2025,2025-11-24,2025-11-30,images_rewe/rewe_offer_57.jpg,0
REWE Feine Welt Dunkle Mousse au Chocolat,Keine Marke,"€ 1,39",Kein vorheriger Preis,"1 kg = 17,38",je 80-g-Glas-Pckg,Nein,24.11.2025 bis 30.11.2025,2025-11-24,2025-11-30,images_rewe/rewe_offer_58.jpg,0
Langnese Cuja Mara Split,Keine Marke,"€ 2,22",Kein vorheriger Preis,"1 l = 5,29",je 420-ml-Pckg,Nein,24.11.2025 bis 30.11.2025,2025-11-24,2025-11-30,images_rewe/rewe_offer_60.jpg,0
Langnese Flutschfinger,Keine Marke,"€ 2,22",Kein vorheriger Preis,"1 l = 4,34",je 512-ml-Pckg,Nein,24.11.2025 bis 30.11.2025,2025-11-24,2025-11-30,images_rewe/rewe_offer_61.jpg,0
Frosta Chili Con Quinoa,Keine Marke,"€ 2,99",Kein vorheriger Preis,"1 kg = 5,98","tiefgefroren, je 500-g-Btl",Nein,24.11.2025 bis 30.11.2025,2025-11-24,2025-11-30,images_rewe/rewe_offer_62.jpg,0
Frosta Bami Goreng,Keine Marke,"€ 2,99",Kein vorheriger Preis,"1 kg = 6,64","tiefgefroren, je 450-g-Btl",Nein,24.11.2025 bis 30.11.2025,2025-11-24,2025-11-30,images_rewe/rewe_offer_63.jpg,0
Iglo 15 Fischstäbchen,Keine Marke,"€ 2,99",Kein vorheriger Preis,"1 kg = 6,64","tiefgefroren, je 450-g-Pckg",Nein,24.11.2025 bis 30.11.2025,2025-11-24,2025-11-30,images_rewe/rewe_offer_64.jpg,0
Gustavo Gusto Pizza Margherita,Keine Marke,"€ 3,49",Kein vorheriger Preis,"1 kg = 8,51","tiefgefroren, je 410-g-Pckg",Nein,24.11.2025 bis 30.11.2025,2025-11-24,2025-11-30,images_rewe/rewe_offer_65.jpg,0
Gustavo Gusto Pizza Salame,Keine Marke,"€ 3,49",Kein vorheriger Preis,"1 kg = 7,59","tiefgefroren, je 460-g-Pckg",Nein,24.11.2025 bis 30.11.2025,2025-11-24,2025-11-30,images_rewe/rewe_offer_66.jpg,0
REWE Feine Welt Macarons,Keine Marke,"€ 2,29",Kein vorheriger Preis,"1 kg = 31,81","tiefgefroren, je 72-g-Pckg",Nein,24.11.2025 bis 30.11.2025,2025-11-24,2025-11-30,images_rewe/rewe_offer_67.jpg,0
REWE Feine Welt Pastéis de Nata,Keine Marke,"€ 2,29",Kein vorheriger Preis,"1 kg = 9,54","tiefgefroren, je 240-g-Pckg",Nein,24.11.2025 bis 30.11.2025,2025-11-24,2025-11-30,images_rewe/rewe_offer_68.jpg,0
Iglo 13 Backfischstäbchen,Keine Marke,"€ 2,99",Kein vorheriger Preis,"1 kg = 8,21","tiefgefroren, je 364-g-Pckg",Nein,24.11.2025 bis 30.11.2025,2025-11-24,2025-11-30,images_rewe/rewe_offer_69.jpg,0
ja! Rahm-Spinat,Keine Marke,"€ 0,89",Kein vorheriger Preis,"1 kg = 1,98","tiefgefroren, je 450-g-Pckg",Nein,24.11.2025 bis 30.11.2025,2025-11-24,2025-11-30,images_rewe/rewe_offer_70.jpg,0
